,total_sales,date
d_512,2194,2012-06-23
d_513,2330,2012-06-24
d_514,1888,2012-06-25
d_515,1779,2012-06-26
d_516,1517,2012-06-27
d_517,1451,2012-06-28
d_518,1682,2012-06-29
d_519,1786,2012-06-30
d_520,1793,2012-07-01
d_521,1508,2012-07-02
d_522,1897,2012-07-03
d_523,1679,2012-07-04
d_524,1570,2012-07-05
d_525,1911,2012-07-06
d_526,2140,2012-07-07
d_527,1968,2012-07-08
d_528,1455,2012-07-09
d_529,1442,2012-07-10
d_530,1360,2012-07-11
d_531,1496,2012-07-12
d_532,1827,2012-07-13
d_533,1727,2012-07-14
d_534,2085,2012-07-15
d_535,1478,2012-07-16
d_536,1315,2012-07-17
d_537,1340,2012-07-18
d_538,1385,2012-07-19
d_539,1764,2012-07-20
d_540,2053,2012-07-21
d_541,2120,2012-07-22
d_542,1490,2012-07-23
d_543,1462,2012-07-24
d_544,1325,2012-07-25
d_545,1345,2012-07-26
d_546,1583,2012-07-27
d_547,1873,2012-07-28
d_548,2183,2012-07-29
d_549,1556,2012-07-30
d_550,1405,2012-07-31
d_551,1753,2012-08-01
d_552,1786,2012-08-02
d_553,2042,2012-08-03
d_554,2376,2012-08-04
d_555,2159,2012-08-05
d_556,1919,2012-08-06
d_557,1867,2012-08-07
d_558,1574,2012-08-08
d_559,1872,2012-08-09
d_560,1674,2012-08-10
d_561,2375,2012-08-11
d_562,2421,2012-08-12
d_563,1984,2012-08-13
d_564,1723,2012-08-14
d_565,1713,2012-08-15
d_566,1638,2012-08-16
d_567,1795,2012-08-17
d_568,1984,2012-08-18
d_569,2338,2012-08-19
d_570,1569,2012-08-20
d_571,1257,2012-08-21
d_572,1271,2012-08-22
d_573,1306,2012-08-23
d_574,1497,2012-08-24
d_575,1934,2012-08-25
d_576,2431,2012-08-26
d_577,1695,2012-08-27
d_578,1485,2012-08-28
d_579,1225,2012-08-29
d_580,1428,2012-08-30
d_581,1659,2012-08-31
d_582,2089,2012-09-01
d_583,2038,2012-09-02
d_584,2375,2012-09-03
d_585,1387,2012-09-04
d_586,1358,2012-09-05
d_587,1454,2012-09-06
d_588,1860,2012-09-07
d_589,1732,2012-09-08
d_590,2332,2012-09-09
d_591,1502,2012-09-10
d_592,1407,2012-09-11
d_593,1433,2012-09-12
d_594,1284,2012-09-13
d_595,1508,2012-09-14
d_596,2099,2012-09-15
d_597,1985,2012-09-16
d_598,1469,2012-09-17
d_599,1154,2012-09-18
d_600,1350,2012-09-19
d_601,1327,2012-09-20
d_602,1413,2012-09-21
d_603,1980,2012-09-22
d_604,2055,2012-09-23
d_605,1566,2012-09-24
d_606,1289,2012-09-25
d_607,1362,2012-09-26
d_608,1413,2012-09-27
d_609,1524,2012-09-28
d_610,1751,2012-09-29
d_611,1744,2012-09-30
d_612,1758,2012-10-01
d_613,1440,2012-10-02
d_614,1624,2012-10-03
d_615,1441,2012-10-04
d_616,1725,2012-10-05
d_617,1937,2012-10-06
d_618,2119,2012-10-07
d_619,1590,2012-10-08
d_620,1773,2012-10-09
d_621,1370,2012-10-10
d_622,1538,2012-10-11
d_623,1825,2012-10-12
d_624,2180,2012-10-13
d_625,1940,2012-10-14
d_626,1690,2012-10-15
d_627,1395,2012-10-16
d_628,1393,2012-10-17
d_629,1213,2012-10-18
d_630,1375,2012-10-19
d_631,1686,2012-10-20
d_632,2011,2012-10-21
d_633,1361,2012-10-22
d_634,1300,2012-10-23
d_635,1077,2012-10-24
d_636,1106,2012-10-25
d_637,1116,2012-10-26
d_638,1423,2012-10-27
d_639,1607,2012-10-28
d_640,1180,2012-10-29
d_641,1155,2012-10-30
d_642,1147,2012-10-31
d_643,1338,2012-11-01
d_644,1416,2012-11-02
d_645,1776,2012-11-03
d_646,1906,2012-11-04
d_647,1580,2012-11-05
d_648,1206,2012-11-06
d_649,1419,2012-11-07
d_650,1362,2012-11-08
d_651,1477,2012-11-09
d_652,1672,2012-11-10
d_653,1926,2012-11-11
d_654,1488,2012-11-12
d_655,1226,2012-11-13
d_656,1121,2012-11-14
d_657,1263,2012-11-15
d_658,1123,2012-11-16
d_659,1551,2012-11-17
d_660,1585,2012-11-18
d_661,1450,2012-11-19
d_662,1488,2012-11-20
d_663,2049,2012-11-21
d_664,1365,2012-11-22
d_665,979,2012-11-23
d_666,1206,2012-11-24
d_667,1354,2012-11-25
d_668,1138,2012-11-26
d_669,999,2012-11-27
d_670,967,2012-11-28
d_671,962,2012-11-29
d_672,1159,2012-11-30
d_673,1822,2012-12-01
d_674,1684,2012-12-02
d_675,1406,2012-12-03
d_676,1096,2012-12-04
d_677,1316,2012-12-05
d_678,1185,2012-12-06
d_679,1433,2012-12-07
d_680,1730,2012-12-08
d_681,1762,2012-12-09
d_682,1215,2012-12-10
d_683,1189,2012-12-11
d_684,1308,2012-12-12
d_685,1318,2012-12-13
d_686,1306,2012-12-14
d_687,1814,2012-12-15
d_688,1658,2012-12-16
d_689,1376,2012-12-17
d_690,1481,2012-12-18
d_691,1408,2012-12-19
d_692,1433,2012-12-20
d_693,1436,2012-12-21
d_694,1628,2012-12-22
d_695,1765,2012-12-23
d_696,1902,2012-12-24
d_697,2,2012-12-25
d_698,1432,2012-12-26
d_699,1148,2012-12-27
d_700,1265,2012-12-28
d_701,1575,2012-12-29
d_702,1635,2012-12-30
d_703,1887,2012-12-31
d_704,1327,2013-01-01
d_705,1092,2013-01-02
d_706,1417,2013-01-03
d_707,1237,2013-01-04
d_708,1627,2013-01-05
d_709,1888,2013-01-06
d_710,1636,2013-01-07
d_711,1271,2013-01-08
d_712,1213,2013-01-09
d_713,1163,2013-01-10
d_714,1484,2013-01-11
d_715,1897,2013-01-12
d_716,1956,2013-01-13
d_717,1392,2013-01-14
d_718,1294,2013-01-15
d_719,1162,2013-01-16
d_720,1133,2013-01-17
d_721,1362,2013-01-18
d_722,1624,2013-01-19
d_723,1563,2013-01-20
d_724,1364,2013-01-21
d_725,1225,2013-01-22
d_726,1033,2013-01-23
d_727,1090,2013-01-24
d_728,1184,2013-01-25
d_729,1608,2013-01-26
d_730,1637,2013-01-27
d_731,1203,2013-01-28
d_732,985,2013-01-29
d_733,1097,2013-01-30
d_734,1107,2013-01-31
d_735,1371,2013-02-01
d_736,1799,2013-02-02
d_737,2037,2013-02-03
d_738,1360,2013-02-04
d_739,1251,2013-02-05
d_740,1208,2013-02-06
d_741,1349,2013-02-07
d_742,1410,2013-02-08
d_743,1724,2013-02-09
d_744,1749,2013-02-10
d_745,1240,2013-02-11
d_746,1454,2013-02-12
d_747,1536,2013-02-13
d_748,1139,2013-02-14
d_749,1466,2013-02-15
d_750,1692,2013-02-16
d_751,1947,2013-02-17
d_752,1472,2013-02-18
d_753,1224,2013-02-19
d_754,1083,2013-02-20
d_755,1220,2013-02-21
d_756,1151,2013-02-22
d_757,1522,2013-02-23
d_758,1705,2013-02-24
d_759,1313,2013-02-25
d_760,1204,2013-02-26
d_761,1034,2013-02-27
d_762,1057,2013-02-28
d_763,1483,2013-03-01
d_764,1540,2013-03-02
d_765,1852,2013-03-03
d_766,1217,2013-03-04
d_767,1387,2013-03-05
d_768,1272,2013-03-06
d_769,1381,2013-03-07
d_770,1295,2013-03-08
d_771,1666,2013-03-09
d_772,1564,2013-03-10
d_773,1484,2013-03-11
d_774,1331,2013-03-12
d_775,1456,2013-03-13
d_776,1468,2013-03-14
d_777,1577,2013-03-15
d_778,1540,2013-03-16
d_779,1806,2013-03-17
d_780,1503,2013-03-18
d_781,1124,2013-03-19
d_782,1227,2013-03-20
d_783,1341,2013-03-21
d_784,1213,2013-03-22
d_785,1392,2013-03-23
d_786,1578,2013-03-24
d_787,1219,2013-03-25
d_788,1043,2013-03-26
d_789,1145,2013-03-27
d_790,1163,2013-03-28
d_791,1782,2013-03-29
d_792,2222,2013-03-30
d_793,1701,2013-03-31
d_794,1443,2013-04-01
d_795,1205,2013-04-02
d_796,1316,2013-04-03
d_797,1103,2013-04-04
d_798,1457,2013-04-05
d_799,1737,2013-04-06
d_800,1908,2013-04-07
d_801,1475,2013-04-08
d_802,1419,2013-04-09
d_803,1211,2013-04-10
d_804,1241,2013-04-11
d_805,1461,2013-04-12
d_806,1655,2013-04-13
d_807,1759,2013-04-14
d_808,1737,2013-04-15
d_809,1320,2013-04-16
d_810,1109,2013-04-17
d_811,1171,2013-04-18
d_812,1333,2013-04-19
d_813,1479,2013-04-20
d_814,1491,2013-04-21
d_815,1178,2013-04-22
d_816,1134,2013-04-23
d_817,1035,2013-04-24
d_818,1049,2013-04-25
d_819,1263,2013-04-26
d_820,1190,2013-04-27
d_821,1592,2013-04-28
d_822,1129,2013-04-29
d_823,1279,2013-04-30
d_824,1419,2013-05-01
d_825,1022,2013-05-02
d_826,1356,2013-05-03
d_827,1525,2013-05-04
d_828,1616,2013-05-05
d_829,1403,2013-05-06
d_830,1457,2013-05-07
d_831,1211,2013-05-08
d_832,1271,2013-05-09
d_833,1206,2013-05-10
d_834,1767,2013-05-11
d_835,1568,2013-05-12
d_836,1518,2013-05-13
d_837,1341,2013-05-14
d_838,1364,2013-05-15
d_839,1172,2013-05-16
d_840,1374,2013-05-17
d_841,1580,2013-05-18
d_842,1950,2013-05-19
d_843,1500,2013-05-20
d_844,1341,2013-05-21
d_845,1338,2013-05-22
d_846,1444,2013-05-23
d_847,1500,2013-05-24
d_848,1690,2013-05-25
d_849,1865,2013-05-26
d_850,1686,2013-05-27
d_851,1286,2013-05-28
d_852,1034,2013-05-29
d_853,1108,2013-05-30
d_854,1308,2013-05-31
d_855,1953,2013-06-01
d_856,1772,2013-06-02
d_857,1700,2013-06-03
d_858,1415,2013-06-04
d_859,1493,2013-06-05
d_860,1497,2013-06-06
d_861,1554,2013-06-07
d_862,1609,2013-06-08
d_863,2030,2013-06-09
d_864,1438,2013-06-10
d_865,1294,2013-06-11
d_866,1420,2013-06-12
d_867,1574,2013-06-13
d_868,1609,2013-06-14
d_869,1952,2013-06-15
d_870,2036,2013-06-16
d_871,1598,2013-06-17
d_872,1301,2013-06-18
d_873,1329,2013-06-19
d_874,1367,2013-06-20
d_875,1657,2013-06-21
d_876,1989,2013-06-22
d_877,2333,2013-06-23
d_878,1619,2013-06-24
d_879,1489,2013-06-25
d_880,1485,2013-06-26
d_881,1369,2013-06-27
d_882,1632,2013-06-28
d_883,2041,2013-06-29
d_884,2122,2013-06-30
d_885,1882,2013-07-01
d_886,1423,2013-07-02
d_887,1834,2013-07-03
d_888,1745,2013-07-04
d_889,1726,2013-07-05
d_890,2025,2013-07-06
d_891,2147,2013-07-07
d_892,1388,2013-07-08
d_893,1509,2013-07-09
d_894,1236,2013-07-10
d_895,1685,2013-07-11
d_896,1762,2013-07-12
d_897,2195,2013-07-13
d_898,1919,2013-07-14
d_899,1728,2013-07-15
d_900,1332,2013-07-16
d_901,1329,2013-07-17
d_902,1635,2013-07-18
d_903,1446,2013-07-19
d_904,1644,2013-07-20
d_905,1948,2013-07-21
d_906,1511,2013-07-22
d_907,1614,2013-07-23
d_908,1403,2013-07-24
d_909,1519,2013-07-25
d_910,1800,2013-07-26
d_911,2163,2013-07-27
d_912,1909,2013-07-28
d_913,1564,2013-07-29
d_914,1469,2013-07-30
d_915,1339,2013-07-31
d_916,1878,2013-08-01
d_917,1903,2013-08-02
d_918,2052,2013-08-03
d_919,1993,2013-08-04
d_920,1951,2013-08-05
d_921,1839,2013-08-06
d_922,1812,2013-08-07
d_923,1702,2013-08-08
d_924,1977,2013-08-09
d_925,1973,2013-08-10
d_926,2446,2013-08-11
d_927,1900,2013-08-12
d_928,2386,2013-08-13
d_929,1350,2013-08-14
d_930,1827,2013-08-15
d_931,1622,2013-08-16
d_932,2003,2013-08-17
d_933,2120,2013-08-18
d_934,1712,2013-08-19
d_935,1321,2013-08-20
d_936,1477,2013-08-21
d_937,1518,2013-08-22
d_938,2021,2013-08-23
d_939,2327,2013-08-24
d_940,2453,2013-08-25
d_941,1630,2013-08-26
d_942,1570,2013-08-27
d_943,1507,2013-08-28
d_944,1437,2013-08-29
d_945,1719,2013-08-30
d_946,2360,2013-08-31
d_947,2570,2013-09-01
d_948,2347,2013-09-02
d_949,1893,2013-09-03
d_950,1397,2013-09-04
d_951,1876,2013-09-05
d_952,1670,2013-09-06
d_953,2405,2013-09-07
d_954,2506,2013-09-08
d_955,1965,2013-09-09
d_956,1486,2013-09-10
d_957,1653,2013-09-11
d_958,1526,2013-09-12
d_959,2135,2013-09-13
d_960,2231,2013-09-14
d_961,2347,2013-09-15
d_962,1910,2013-09-16
d_963,1458,2013-09-17
d_964,1517,2013-09-18
d_965,1319,2013-09-19
d_966,1300,2013-09-20
d_967,2052,2013-09-21
d_968,1964,2013-09-22
d_969,1356,2013-09-23
d_970,1417,2013-09-24
d_971,1436,2013-09-25
d_972,1180,2013-09-26
d_973,1429,2013-09-27
d_974,1898,2013-09-28
d_975,1950,2013-09-29
d_976,1460,2013-09-30
d_977,1606,2013-10-01
d_978,1450,2013-10-02
d_979,1686,2013-10-03
d_980,1600,2013-10-04
d_981,2145,2013-10-05
d_982,2303,2013-10-06
d_983,1885,2013-10-07
d_984,1432,2013-10-08
d_985,1496,2013-10-09
d_986,1260,2013-10-10
d_987,1581,2013-10-11
d_988,1847,2013-10-12
d_989,1971,2013-10-13
d_990,1671,2013-10-14
d_991,1679,2013-10-15
d_992,1123,2013-10-16
d_993,1076,2013-10-17
d_994,1283,2013-10-18
d_995,1725,2013-10-19
d_996,1754,2013-10-20
d_997,1399,2013-10-21
d_998,1213,2013-10-22
d_999,1162,2013-10-23
d_1000,1191,2013-10-24
d_1001,1322,2013-10-25
